,edge_id,edge_from,edge_to,edge_type,seg_edges,edge_type_cat
127,326360867,564059,2156703757,junctional,,junctional
128,326360868,1656202342,128970,junctional,,junctional
129,9934275,375841,3331556521,junctional,,junctional
130,326360873,3329934602,292339971,junctional,,junctional
131,326360875,2592685924,128971,junctional,,junctional
132,290420123,3833847084,1999722420,junctional,,junctional
133,290420120,2004006679,1059826936,junctional,,junctional
134,9934277-AddedOffRampEdge,9934277-AddedOffRampNode,21690978,junctional,,junctional
135,326360863,273158,3329934609,junctional,,junctional
136,295655356,34035887,34035893,junctional,,junctional
137,325882181,301761611,2010850227,junctional,,junctional
138,9934272,81479847,1580169075,junctional,,junctional
139,985636253,267722,267723,junctional,,junctional
140,31910199,315862636,471892,junctional,,junctional
141,989148873,7138404371,3833847084,junctional,,junctional
142,318893120,1099465454,267713,junctional,,junctional
143,318893118,3252894187,412383917,junctional,,junctional
144,320024434,3265288561,268348879,junctional,,junctional
145,325030860-AddedOffRampEdge,325030860-AddedOffRampNode,129082,junctional,,junctional
146,318893116,1099465448,3252894188,junctional,,junctional
147,325560959,21676283,1059673147,junctional,,junctional
148,325781635,3323891454,2382830,junctional,,junctional
149,318893115#0,21583524,412383922,junctional,,junctional
150,930774574,4804095376,8630068049,junctional,,junctional
151,318893113,3252894188,262896,junctional,,junctional
152,325882175,11586926,2592928646,junctional,,junctional
153,318893112,1639720579,412383916,junctional,,junctional
154,325882178,2592928646,375772,junctional,,junctional
155,989306604,2382830,21676279,junctional,,junctional
156,989352111,7138388907,7138388908,junctional,,junctional
157,989352113,224348417,224348461,junctional,,junctional
158,326360860,3329934609,273159,junctional,,junctional
159,326372744,3330053212,1029614925,junctional,,junctional
160,56316152,706558374,375841,junctional,,junctional
161,326391230,1423221462,1423221687,junctional,,junctional
162,4084452,146607,129077,junctional,,junctional
163,864006548,3787575463,1590077889,junctional,,junctional
164,421617200,4213687258,8851960,junctional,,junctional
165,421624046,1423221645,1423221663,junctional,,junctional
166,4241832#2,1393033848,2156703735,junctional,,junctional
167,424788929,2010850227,146739,junctional,,junctional
168,4472294,540203,2004006679,junctional,,junctional
169,78346870,301762153,4680381262,junctional,,junctional
170,4629157#2,130125,130124,junctional,,junctional
171,4673900,3792289088,1059694866,junctional,,junctional
172,4673901,1059826936,21676283,junctional,,junctional
173,4047014,18033999,2131234077,junctional,,junctional
174,46785227,146886,146882,junctional,,junctional
175,4763060,1627466140,273158,junctional,,junctional
176,4763066,292339971,128969,junctional,,junctional
177,5106591,21140190,301761611,junctional,,junctional
178,5106592,2383200,2383155,junctional,,junctional
179,5106593,2383155,21140190,junctional,,junctional
180,5107158,1607570479,17073440,junctional,,junctional
181,5107161,1607570480,178117528,junctional,,junctional
182,51431707,21493223,58711451,junctional,,junctional
183,529269909,21690978,3850232456,junctional,,junctional
184,764084208,7138388908,3792289088,junctional,,junctional
185,55706467,602020,128961,junctional,,junctional
186,474013892,4680381262,301761879,junctional,,junctional
187,326372748,1029614926,3330053212,junctional,,junctional
188,864009854,1423221465,1423221536,junctional,,junctional
189,864009858,1423221587,1423221592,junctional,,junctional
190,864726183,4241706370,427301,junctional,,junctional
191,326418277,647745644,18277418,junctional,,junctional
192,326418287,3330548818,2043498,junctional,,junctional
193,326418288,125075834,3330548818,junctional,,junctional
194,326418297,1581762617,1581762638,junctional,,junctional
195,326501999,3331556521,375845,junctional,,junctional
196,3345067,129001,130114,junctional,,junctional
197,3353408,540203,1590077889,junctional,,junctional
198,864009864,1423221569,1423221561,junctional,,junctional
199,864009863,1423221561,1423221536,junctional,,junctional
200,864009862,8048966867,1423221638,junctional,,junctional
201,4005949,1029615259,1029615343,junctional,,junctional
202,361366592,7138388907,3787575463,junctional,,junctional
203,375194826,1423221638,1423221612,junctional,,junctional
204,375347279,1423221588,1423221569,junctional,,junctional
205,375347280,1423221663,8048966865,junctional,,junctional
206,864009860,8048966865,1423221687,junctional,,junctional
207,864009859,1423221608,1423221645,junctional,,junctional
208,397317301,375839,147159,junctional,,junctional
209,397317302,375839,375840,junctional,,junctional
210,3995418,129001,1656202342,junctional,,junctional
211,3995755,129082,129071,junctional,,junctional
212,3996481,21140190,14388263,junctional,,junctional
213,3996483,1607570479,11586926,junctional,,junctional
214,864009861,1423221612,1423221588,junctional,,junctional
215,10035426,2592685923,128969,junctional,,junctional
216,30032437,1581762638,1794227,junctional,,junctional
217,290153183,2936875423,1716515075,junctional,,junctional
218,146070308,1099538478,281767,junctional,,junctional
219,146070307,1099538478,292345454,junctional,,junctional
220,146070306,281774,364882784,junctional,,junctional
221,145430067,147159,2619847847,junctional,,junctional
222,145337518,2383195,3323891454,junctional,,junctional
223,145308670,269724796,315862636,junctional,,junctional
224,145035982,1585011680,1045289217,junctional,,junctional
225,146070309,1099538529,281767,junctional,,junctional
226,144929328,1099465477,471885,junctional,,junctional
227,144599496,269310398,14388263,junctional,,junctional
228,144599495,14388263,14388264,junctional,,junctional
229,144599494,14388264,21550593,junctional,,junctional
230,144598726,21550597,301760430,junctional,,junctional
231,144598725,17073440,21550597,junctional,,junctional
232,144598722,1573049885,434456,junctional,,junctional
233,144598720,434456,11586926,junctional,,junctional
234,144655317,146717,3330241909,junctional,,junctional
235,290420118,1999722420,1059694866,junctional,,junctional
236,149394036,128970,1623802377,junctional,,junctional
237,149800403#0-AddedOnRampEdge,292342693,149800403#0-AddedOnRampNode,junctional,,junctional
238,194472692,1685004114,12778935,junctional,,junctional
239,194472691,1045289217,146870,junctional,,junctional
240,194472690,146754,146739,junctional,,junctional
241,177359487,82745221,21690972,junctional,,junctional
242,17257022,375852,410206930,junctional,,junctional
243,17147000,21550593,301762153,junctional,,junctional
244,17146990,178117528,1607570479,junctional,,junctional
245,149800403#0,149800403#0-AddedOnRampNode,564060,junctional,,junctional
246,159542591,1716515075,3252894187,junctional,,junctional
247,154929363,81479847,81479849,junctional,,junctional
248,154928859,375845,247368059,junctional,,junctional
249,152279771,412383916,292348144,junctional,,junctional
250,152279770#0,412383912,1639720579,junctional,,junctional
251,152279745,412383922,267723,junctional,,junctional
252,152279744#0,412383917,21583524,junctional,,junctional
253,149803004,1623802377,129937,junctional,,junctional
254,154929366,81479849,82444784,junctional,,junctional
255,194472693,249309576,249309579,junctional,,junctional
256,144575128,130122,129937,junctional,,junctional
257,144554281,125070679,125075834,junctional,,junctional
258,128901063,1423221462,1423221587,junctional,,junctional
259,128901033,1423221465,8048966867,junctional,,junctional
260,128901031,1423221592,1423221608,junctional,,junctional
261,121262011,1607553290,216326952,junctional,,junctional
262,112874029,2382830,3787575463,junctional,,junctional
263,10893338,130114,3329995329,junctional,,junctional
264,100871371,1099538663,281774,junctional,,junctional
265,132904500,8851960,1573049885,junctional,,junctional
266,100871363,281822,282261,junctional,,junctional
267,100871358,281812,25335917,junctional,,junctional
268,100871352,282261,281788,junctional,,junctional
269,100871348,281784,282247,junctional,,junctional
270,100871346,25335965,281822,junctional,,junctional
271,100871343,281788,1099538663,junctional,,junctional
272,10038751,82444784,146870,junctional,,junctional
273,10038010,146882,81479847,junctional,,junctional
274,100871360,282247,281812,junctional,,junctional
275,144554282,146729,125070697,junctional,,junctional
276,13590178,2043498,647745644,junctional,,junctional
277,136439510,146887,247364973,junctional,,junctional
278,144458616,2383195,1059694872,junctional,,junctional
279,144035532,21690978,2619671722,junctional,,junctional
280,143948514,21690967,375845,junctional,,junctional
281,143885663,146774,146773,junctional,,junctional
282,143755684,269310398,301761611,junctional,,junctional
283,143755681,375764,4213687258,junctional,,junctional
284,143755677,434456,17073440,junctional,,junctional
285,136438751,247364977,1564111637,junctional,,junctional
286,143690723,147162,1572493959,junctional,,junctional
287,142948412,82745221,375841,junctional,,junctional
288,142948410,3850232456,82745221,junctional,,junctional
289,142937976,1585011680,247364977,junctional,,junctional
290,142937974,146886,146887,junctional,,junctional
291,142790230-AddedOffRampEdge,142790230-AddedOffRampNode,21690967,junctional,,junctional
292,142790230,268573602,142790230-AddedOffRampNode,junctional,,junctional
293,141620495,281784,1550170701,junctional,,junctional
294,143476001,471965,147025,junctional,,junctional
295,194474236,2383200,301760430,junctional,,junctional
296,144575132,2592685923,129950,junctional,,junctional
297,194606310,375734,18277418,junctional,,junctional
298,256297938,2619671722,81479849,junctional,,junctional
299,256297935,147018,2619559994,junctional,,junctional
300,256297931,410206938,146933,junctional,,junctional
301,256297925,375840,1878022043,junctional,,junctional
302,256297921,268573602,247364973,junctional,,junctional
303,256297920,21690972,3265288561,junctional,,junctional
304,256297908,2619671754,268573602,junctional,,junctional
305,253358863,1828305746,146855,junctional,,junctional
306,253357499,18033999,18034001,junctional,,junctional
307,253354844,146729,1581762656,junctional,,junctional
308,253354843,1794227,1581762656,junctional,,junctional
309,253353292,146717,146710,junctional,,junctional
310,253353291,375729,1581762671,junctional,,junctional
311,253346717,146607,129071,junctional,,junctional
312,253346709,146622,1281954197,junctional,,junctional
313,256297940,247368059,1564111637,junctional,,junctional
314,256333144,269395636,269396685,junctional,,junctional
315,27200368,375734,125070679,junctional,,junctional
316,27456493,21676279,1059673147,junctional,,junctional
317,194474237,125070697,1581762617,junctional,,junctional
