,edge_id,edge_from,edge_to
290,2597457,292346566,292347020
291,26653463,292342496,292342693
292,26653902.22,471882_trimmed_01,1099465448
293,27200368,375734,125070679
294,27456392,8630068057,147025
295,27456493,21676279,1059673147
296,27456504,7138404371,21676283
297,27473114,3787286135,7138404371
298,27510276,301762153,27510276-AddedOffRampNode
299,280264754,282665755,25335965
300,280269658,282665749,2156703747
301,280269664,2156703755,602020
302,280269665,2844134480,1627520200
303,280270147,2429987884,292342693
304,280270148,2844138875,1627520203
305,280270149,130124,128961
306,280271363,1703355964,2592685923
307,280273994,2844174965,2844174966
308,280273997,2844174966,2844813417
309,280273999,1627466140,129935
310,280274001,1913949867,273165
311,280341480,2844784993,129934
312,280342519,2844813417,106370593
313,280342521,2844813416,2844784993
314,286339721,1059694872,2939489896
315,28764145.22,147103_trimmed_01,471892
316,288717310,181764519,181764514
317,288717312,216326952,1985053302
318,288717313,1569939962,181764519
319,288717723,268348879,2619671757
320,289441712,1099560799,3337821864
321,289441724,1099560796,27457786
322,289441726,293682866,1099560799
323,289441732,1099538607,262874
324,289444420,269724796,267713
325,289444423,262896,292346923
326,289444426,1099465477,262896
327,289444428,267718,292348144
328,289444430,267723,1599091679
329,289444434,1716515075,267722
330,289444439,292348144,2936875422
331,290146638,2936738037,292346566
332,290146639,262872,290146639-AddedOffRampNode
333,290146639-AddedOffRampEdge,290146639-AddedOffRampNode,1099538607
334,290146640,1099549787,2936738048
335,290151886,1599091669,267718
336,290151887,2936835265,290151887-AddedOffRampNode
337,290151887-AddedOffRampEdge,290151887-AddedOffRampNode,1099465477
338,290151888,2936835264,1599091669
339,290151889,1599091679,2936835265
340,290151890,292347020,290151890-AddedOffRampNode
341,290151890-AddedOffRampEdge,290151890-AddedOffRampNode,269724796
342,290153183,2936875423,1716515075
343,290153186,1593504896,2936875423
344,290153188,2936875422,2936875425
345,290258255,2938089549,531076597
346,290420118,1999722420,1059694866
347,290420120,2004006679,1059826936
348,290420123,3833847084,1999722420
349,290420126,2939489896,427301
350,290420128,1989443541,2383195
351,29131180,147162,12215022
352,292154882,2956950065,1658191516
353,29264205,236801,3337821869
354,29265204,265199,8543497362
355,29265208,364882783,3252878720
356,29265257,29265257-AddedOnRampNode,292346277
357,29265257-AddedOnRampEdge,262868,29265257-AddedOnRampNode
358,295655351,34035893,1814253673
359,295655356,34035887,34035893
360,298806246,410206969,146933
361,30032437,1581762638,1794227
362,301110094,3052214876,3785928899
363,307146390,1999659625,1029615259
364,307456801,262874,292345796
365,310375823,3157955708,129077
366,313844121,3198809542,1623777535
367,314271665,292338035,700070048
368,316403776,289744207,18034001
369,316670150,2592832042,21493223
370,316670151,1999942902,316670151-AddedOffRampNode
371,316670151-AddedOffRampEdge,316670151-AddedOffRampNode,146622
372,316670152,2592832044,2592832041
373,316670153,2592832049,1999942902
374,31697844,3785929198,3785928899
375,317152575,1999655981,375625
376,317414933,1099560779,2929927116
377,318892039,3252878720,1099560796
378,318893111,292346923,292346534
379,318893112,1639720579,412383916
380,318893113,3252894188,262896
381,318893115#0,21583524,412383922
382,318893116,1099465448,3252894188
383,318893118,3252894187,412383917
384,318893120,1099465454,267713
385,318893121,3252894186,318893121-AddedOffRampNode
386,318893121-AddedOffRampEdge,318893121-AddedOffRampNode,1738482285
387,31910199,315862636,471892
388,31911247,471892,1099465454
389,31911252,471885,471882_trimmed_02
390,320024434,3265288561,268348879
391,32456942,364882784,236801
392,32456945,364882786,3157955708
393,325030860,1238967176,325030860-AddedOffRampNode
394,325030860-AddedOffRampEdge,325030860-AddedOffRampNode,129082
395,325030863,3317024586,3330142361
396,325030864,3317024584,3317024586
397,325030865,129069,1999655952
398,325030866,3317024588,146607
399,325030867,1999655952,1999659625
400,325560957,3322079864,3785929198
401,325560958,1059673172,3322079864
402,325560959,21676283,1059673147
403,325781634,3323891455,3787286135
404,325781635,3323891454,2382830
405,325781636,3323891661,3323891662
406,325781637,3323891662,3694897725
407,325882159,301761879,3325040798
408,325882161,1578755572,1607570480
409,325882162,1607570480,301760257
410,325882165,3325040821,3330548796
411,325882166,3325040763,1574855419
412,325882167,301761577,3325040821
413,325882168,2592928640,3325040763
414,325882169,2592928667,301761577
415,325882170,3325040764,146754
416,325882173,3325040822,375764
417,325882174,1573049909,1573049875
418,325882175,11586926,2592928646
419,325882176,1573049875,21550593
420,325882178,2592928646,375772
421,325882181,301761611,2010850227
422,326348925,1550170701,282236
423,326360859,3329934599,1627457767
424,326360860,3329934609,273159
425,326360861,3329934598,29399606
426,326360863,273158,3329934609
427,326360865,3329934596,5236981340
428,326360866,128970,564062
429,326360867,564059,2156703757
430,326360868,1656202342,128970
431,326360871,128971,1656202337
432,326360873,3329934602,292339971
433,326360875,2592685924,128971
434,326360876,3329934593,564059
435,326367891,3329995329,3329995330
436,326367892,3329995334,375609
437,326369715,1591263602,129006
438,326372738,129022,440566
439,326372740#0,8059894403,7205564123
440,326372741,129031,3330053219
441,326372742,357225,3330053211
442,326372743,3330053219,2156703848
443,326372744,3330053212,1029614925
444,326372745,3330053211,1029615040
445,326372747,1029615236,357225
446,326372748,1029614926,3330053212
447,326372759,1029615343,3330053222
448,326381211,59931401,2592832042
449,326381214,3330142361,59931393
450,326381217,58711451,9489395_trimmed_02
451,326391230,1423221462,1423221687
452,326391231,3330241912,375729
453,326391232,6148388830,3330241906
454,326391233,3330241906,146717
455,326391234,3330241901,375734
456,326391235,1580998399,3330241903
457,326391237,8623235608,3330241912
458,326391238,3330241905,3330241901
459,326391239,8048983487,1580820762
460,326391241,5279439238,8048983487
461,326391246,3330241910,1581762671
462,326391248,1581762731,146710
463,326418273.59,647745639_trimmed_02,125075834
464,326418274,3330548796,3330548797
465,326418275,3330548795,2592915274
466,326418276,3330548797,146729
467,326418277,647745644,18277418
468,326418278,8059682579,8059682578
469,326418287,3330548818,2043498
470,326418288,125075834,3330548818
471,326418297,1581762617,1581762638
472,326449523,3330933820,1574495832
473,326449527,1574855417,18033999
474,326449532,3330933821,3330933819
475,326449534,3330933828,3330933829
476,326449537,1574495832,249309576
477,326449546,3330933829,1574495836
478,326449551,3330933819,3330987147
479,326455241,3330987147,3330987146
480,326455242,3330987146,1572998454
481,326455243,3330987141,375782
482,326455244,3330987140,1574495828
483,326455245,146775,146774
484,326455246,1574495828,3330933820
485,326458126,1814253673,1225697600
486,326458128,1225697600,1225697394
487,326458129,3331024310,7908483792
488,326458130,2592940901,3331024320
489,326458132,3331024320,146775
490,326464855,3331090268,375836
491,326467410,1988612426,375809
492,326467411,1961449232,1685004114
493,326467412,1961449270,3331024310
494,326467413,375810,2536373636
495,326501998,3331556515,1658373426
496,326501999,3331556521,375845
497,326533930,3331894070,2619671753
498,326539634,3331959095,20949097
499,327036676,1738482285,412383912
500,327043538,292346277,2936738037
501,327043790,1099538589,3126145034
502,327070359,3337821864,1099560779
503,327070360,3337821869,293682866
504,3345067,129001,130114
505,3345072,375609,1584370106
506,3353408,540203,1590077889
507,34954204,146657,4241706370
508,34955362,375858,410206930
509,34955368,375852,375854
510,34955369,410206938,4724536391
511,35158446,412383912,197978814
512,35158447,412383914,412383916
513,35158448,412383917,412383919
514,35158449,412383920,412383922
515,3551125,2041194,375810
516,361366592,7138388907,3787575463
517,361382424,3658652658,2619559994
518,365480197,3694897725,3323242393
519,3662424,281812,1165723266
520,367086942,1878022025,1562597907
521,375194824,1423221592,1423221730
522,375194826,1423221638,1423221612
523,375347279,1423221588,1423221569
524,375347280,1423221663,8048966865
525,394119696,1225697394,2592940901
526,397145882,1814253638,34035893
527,397317297,7908483799,2536373549
528,397317301,375839,147159
529,397317302,375839,375840
530,397321376,3331090267,375839
531,3987994,377428,3987994-AddedOffRampNode
532,3995418,129001,1656202342
533,3995738,129077,331756969
534,3995753,375630,364882786
535,3995754,129082,13884033
536,3995755,129082,129071
537,3996472.111,269310398_trimmed_01,269310398
538,3996481,21140190,14388263
539,3996483,1607570479,11586926
540,3997140,375834,247365444
541,4004668,147018,146962
542,4005946,440566,241792598
543,4005949,1029615259,1029615343
544,4005964,471965,8630068058
545,40107612,147038,1607553290
546,40144606,181764514,706558363
547,40144608,20949097,482714971
548,401794355,1423221486,1423221569
549,4047014,18033999,2131234077
550,4059027,1685004114,12778934_trimmed_1
551,4059029,1828305746,17252207
552,4075143,267718,3252894186
553,4084452,146607,129077
554,421617200,4213687258,8851960
555,421624046,1423221645,1423221663
556,4241832#0,282268,1393033848
557,4241832#2,1393033848,2156703735
558,4241833,25335965,25335961
559,4247380,129006,8048905846
560,424788929,2010850227,146739
561,4343910,21600325,21600328
562,4472294,540203,2004006679
563,4478922,27457786,3337821863
564,4496344,4496344-AddedOnRampNode,1281954197
565,4496345.43,9489395_trimmed_01,375641
566,460356411,375782,1988612426
567,4629157#0,128958,130125
568,4629157#2,130125,130124
569,4629196,602020,2844134480
570,46737892,1581762638,647745674_trimmed_01
571,4673900,3792289088,1059694866
572,4673901,1059826936,21676283
573,46785227,146886,146882
574,474013892,4680381262,301761879
575,4763060,1627466140,273158
576,4763066,292339971,128969
577,485742401,4785117525,129002
578,485742404,1656202337,8048905843
579,48600711,292346534,262871
580,487845692,1584370106,3198809542
581,488043429,147025,1569959315
582,488043430,4804095381,4804095379
583,488043431,3331894068,146913
584,488043434,1569959315,1985053226
585,488043435,4804095379,1029344125
586,490191872,490191872-AddedOnRampNode,27457786
587,504568280#0,4947143814,1393033848
588,5058084,34035887,1814253631
589,5106591,21140190,301761611
590,5106592,2383200,2383155
591,5106593,2383155,21140190
592,5107158,1607570479,17073440
593,5107161,1607570480,178117528
594,51431707,21493223,58711451
595,5212654,375809,18277405_trimmed_2
596,5212663,146774,3330987135
597,52143596,2382778,664410557
598,52143597,664410557,2383200
599,529269909,21690978,3850232456
600,529270426,147154,5141837170
601,541600144,5236981340,564060
602,541602725,2156703747,3329934593
603,541607286,5237044753,129001
604,541607290,7205564123,129009
605,546312752,396007541,5279439238
606,546312753,3330241909,1581762694
607,55706467,602020,128961
608,55717665,700118405,282665755
609,55943637.16,106370595_trimmed_01,106370656
610,56316137,375781,3330987141
611,56316138,1564111637,2247256772
612,56316151,706558363,3331959095
613,56316152,706558374,375841
614,58149342,301760430,301760305
615,64942250,315862636,11666517
616,656333839,3330241903,6148388830
617,668037399,2936738048,262868
618,764084208,7138388908,3792289088
619,78343531.73,12778934_trimmed_2,12778935
620,78343533.45,18277405_trimmed_1,2041194
621,78346870,301762153,4680381262
622,8033288,375836,3331090267
623,8071474,375609,375614
624,8132541,269396599,8132541-AddedOffRampNode
625,8132542#1,8132542#1-AddedOnRampNode,269395641
626,847506312,7908483792,34035887
627,864003703,8048905814,864003703-AddedOffRampNode
628,864003703-AddedOffRampEdge,864003703-AddedOffRampNode,281784
629,864003707,8048905843,4785117525
630,864003708#0,375617,129002
631,864003709,8048905846,129022
632,864006548,3787575463,1590077889
633,864009854,1423221465,1423221536
634,864009855,1389431977,1423221465
635,864009856,1423221687,8048966860
636,864009857,8048966860,146657
637,864009858,1423221587,1423221592
638,864009859,1423221608,1423221645
639,864009860,8048966865,1423221687
640,864009861,1423221612,1423221588
641,864009862,8048966867,1423221638
642,864009863,1423221561,1423221536
643,864009864,1423221569,1423221561
644,864009865,1423221536,334316784
645,864701223,8059682578,3325040822
646,864701224,2592915274,8059682579
647,864701230,334316784,2051085567
648,864701231,8048966866,1389431977
649,864726183,4241706370,427301
650,864726184,4241706370,3323891455
651,864726187,8059872476,8048966866
652,864726197,3330053217,8059894403
653,88687686,1029615020,1029614926
654,88688748,1029615219,1029615236
655,895154059,2844134478,700118405
656,90262912,13884033,1999655981
657,915905440,1574855419,1574855417
658,915905442,1574495836,3325040764
659,920048359,8543497362,364882783
660,920048360,3337821863,1099538516
661,929876820,8048983486,8623235608
662,930774572,4804095376,1029321503
663,930774574,4804095376,8630068049
664,930774580,1985053226,2619671761
665,930774581,247364973,8630068061
666,931112709,2131234077,289744202
667,95995652,292345796,1099538529
668,974688632,267713,2936835264
669,985636253,267722,267723
670,989148873,7138404371,3833847084
671,989306604,2382830,21676279
672,989352111,7138388907,7138388908
673,989352113,224348417,224348461
674,9934272,81479847,1580169075
675,9934275,375841,3331556521
676,9934277,1580169075,9934277-AddedOffRampNode
677,9934277-AddedOffRampEdge,9934277-AddedOffRampNode,21690978
